product_name,sector_name,pci,distance,cog,bs
Cermets,Metals,1.7960885,0.50827897,0.5936216,0.71960557
"Articles for utensils, of cermet",Metals,2.1410801,0.5303831,0.7242751,0.70731056
"Flat-rolled products of other alloy steel, width > 600 mm",Metals,1.7617719,0.5080035,0.5405959,0.6999682
Instruments for physical or chemical analysis,Machinery,1.610147,0.51565635,0.7109765,0.69480234
Esters of other inorganic acids of nonmetals,Chemicals,2.0815382,0.533761,0.75393134,0.69234025
Precious Compounds,Chemicals,2.76707,0.5552377,0.6711839,0.66710067
Nickel plates,Metals,1.9568459,0.5333747,0.6544898,0.6463106
"Microscopes, other than optical",Machinery,2.1680167,0.55025953,0.73455226,0.62349284
Signaling glassware,Stone,1.6534786,0.53817827,0.74513614,0.60844964
Drafting tables and machines,Machinery,1.734301,0.53886735,0.7122957,0.60692394
